City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
351,Bristol,US,41.8334,-71.1662,17.42,77,0,0.0
352,Leningradskiy,RU,69.3833,178.4167,-15.25,93,89,4.88
353,Virginia Beach,US,36.8529,-75.978,34.02,72,100,4.61
354,Vrede,ZA,-27.4257,29.1659,60.44,95,98,1.97
355,Opelousas,US,30.5335,-92.0815,49.82,70,0,3.44
356,Malinovoye Ozero,RU,51.6753,79.7825,16.54,86,100,7.47
357,Ulenurme,EE,58.3162,26.7252,28.56,93,100,5.75
358,Valparaiso,CL,-33.0393,-71.6273,66.47,73,0,4.61
359,Vila Velha,BR,-20.3297,-40.2925,78.75,92,20,2.3
360,Kafue,ZM,-15.7691,28.1814,65.05,92,99,2.59
361,Maniitsoq,GL,65.4167,-52.9,8.92,65,100,17.43
362,Tottori,JP,35.5,134.2333,39.2,93,75,5.75
363,Ribeira Grande,PT,38.5167,-28.7,59.5,72,40,23.22
364,Lima,PE,-12.0432,-77.0282,68.9,85,0,6.91
365,Stabat,ID,3.761,98.4513,86.2,50,98,2.91
366,Touros,BR,-5.1989,-35.4608,79.7,83,10,11.12
367,Korla,CN,41.7597,86.1469,27.9,45,99,2.93
368,Airai,TL,-8.9266,125.4092,70.74,67,92,7.83
369,Pitimbu,BR,-7.4706,-34.8086,79.39,77,11,8.9
370,Gorom-Gorom,BF,14.4439,-0.2361,65.43,16,23,10.18
371,Nagutskoye,RU,44.4415,42.8762,26.82,82,92,5.37
372,Saskylakh,RU,71.9167,114.0833,-24.77,100,94,2.89
373,Kinablangan,PH,7.6947,126.5503,83.03,71,97,8.05
374,Boa Vista,BR,2.8197,-60.6733,80.58,65,40,11.5
375,Viedma,AR,-40.8135,-62.9967,57.38,44,66,6.4
376,Yeppoon,AU,-23.1333,150.7333,92.98,64,59,11.48
377,Red Wing,US,44.5625,-92.5338,15.66,88,0,0.0
378,Pandan,PH,14.0453,124.1694,78.94,84,96,15.17
379,Sistranda,NO,63.7256,8.834,30.9,73,100,12.24
380,Dubbo,AU,-32.25,148.6167,87.93,45,40,4.61
381,Baikunthpur,IN,23.25,82.55,70.09,22,0,5.41
382,Hasaki,JP,35.7333,140.8333,50.29,28,29,6.31
383,Asaba,NG,6.2006,6.7338,69.64,20,99,3.06
384,Dilla,ET,6.41,38.31,66.0,32,89,1.57
385,Biak,ID,-0.9131,122.8766,87.49,57,81,8.46
386,Grande Prairie,CA,55.1667,-118.8027,15.98,86,100,13.8
387,Buraydah,SA,26.326,43.975,55.85,45,79,13.35
388,Narsaq,GL,60.9167,-46.05,21.56,82,100,13.53
389,Rantauprapat,ID,2.1,99.8333,89.49,51,52,3.51
390,Tete,MZ,-16.1564,33.5867,75.29,100,40,0.0
391,Moussoro,TD,13.6408,16.4901,57.38,20,12,14.27
392,Avera,US,33.194,-82.5271,46.27,84,1,7.2
393,Chino Valley,US,34.7575,-112.4538,46.71,49,0,1.99
394,San Juan,AR,-31.5375,-68.5364,83.23,34,3,20.47
395,Kungurtug,RU,50.5994,97.5228,-3.15,86,19,1.36
396,Pravia,ES,43.4906,-6.1508,45.07,93,100,1.14
397,Sur,OM,22.5667,59.5289,74.71,54,0,1.5
398,Quesnel,CA,52.9999,-122.5029,34.3,93,100,6.91
399,Houma,US,29.5958,-90.7195,51.8,92,3,1.01
400,Kirakira,SB,-10.4544,161.9205,84.22,75,59,6.78
401,Labuan,MY,5.2767,115.2417,87.96,70,20,4.61
402,Borogontsy,RU,62.6683,131.1683,-21.93,94,78,2.55
403,Malinyi,TZ,-8.9333,36.1333,72.07,97,99,1.43
404,Seredka,RU,58.1584,28.1858,31.75,99,100,0.69
405,Kondoa,TZ,-4.9,35.7833,63.23,94,99,1.66
406,Port-Cartier,CA,50.0334,-66.8654,3.42,95,67,7.81
